iter	Passed	Remaining
0	2	2395
1	4	2178
2	5	1904
3	7	1785
4	9	1794
5	10	1811
6	12	1757
7	13	1723
8	15	1750
9	17	1729
10	18	1701
11	20	1701
12	22	1718
13	24	1744
14	26	1741
15	27	1718
16	30	1738
17	31	1726
18	33	1704
19	34	1696
20	36	1682
21	38	1709
22	40	1711
23	41	1695
24	43	1679
25	44	1667
26	46	1670
27	47	1662
28	49	1644
29	50	1639
30	53	1661
31	54	1661
32	57	1675
33	59	1693
34	61	1693
35	63	1691
36	65	1695
37	67	1714
38	70	1731
39	72	1731
40	74	1742
41	76	1738
42	77	1728
43	79	1722
44	81	1719
45	83	1727
46	84	1718
47	86	1709
48	87	1702
49	89	1707
50	91	1702
51	93	1697
52	95	1697
53	97	1709
54	99	1713
55	101	1711
56	103	1707
57	105	1711
58	106	1694
59	107	1691
60	109	1692
61	112	1696
62	114	1695
63	115	1689
64	117	1685
65	119	1690
66	121	1691
67	123	1695
68	126	1703
69	128	1712
70	131	1716
71	132	1714
72	135	1719
73	137	1723
74	139	1723
75	142	1727
76	144	1727
77	146	1729
78	148	1729
79	150	1734
80	153	1736
81	155	1736
82	157	1738
83	159	1739
84	161	1739
85	163	1741
86	166	1743
87	167	1740
88	169	1739
89	172	1742
90	174	1740
91	176	1737
92	177	1733
93	179	1734
94	182	1734
95	184	1734
96	186	1735
97	188	1731
98	189	1728
99	191	1723
100	193	1722
101	195	1721
102	197	1717
103	199	1715
104	201	1717
105	203	1719
106	205	1715
107	207	1713
108	209	1710
109	210	1705
110	212	1700
111	213	1694
112	215	1693
113	217	1690
114	218	1684
115	221	1685
116	223	1690
117	225	1686
118	227	1682
119	228	1679
120	231	1680
121	233	1677
122	235	1678
123	237	1679
124	239	1678
125	243	1689
126	246	1693
127	251	1712
128	253	1712
129	255	1712
130	258	1715
131	260	1714
132	262	1713
133	264	1711
134	266	1707
135	268	1705
136	270	1702
137	272	1703
138	274	1698
139	275	1695
140	277	1692
141	279	1691
142	281	1688
143	283	1684
144	285	1682
